Date;From;To;Flight_Number;Airline;Distance;Duration;Seat;Seat_Type;Class;Reason;Plane;Plane2;Plane3;Plane4;Plane5;Trip;Note;From_OID;To_OID;Airline_OID;Plane_OID
- -;DUB;ZRH;Swiss International Air Lines (LX);Swiss International Air Lines;768;02:02;;;;;321;;;;;;Direct;599;1678;4559;
- -;DUS;ZRH;Swiss International Air Lines (LX);Swiss International Air Lines;275;01:03;;;;;320;AR1;100;321;;;Direct;345;1678;4559;
- -;DXB;ZRH;Swiss International Air Lines (LX);Swiss International Air Lines;2960;06:25;;;;;333;;;;;;Direct;2188;1678;4559;
- -;EWR;GVA;Swiss International Air Lines (LX);Swiss International Air Lines;3865;08:13;;;;;763;;;;;;Codeshare;3494;1665;4559;
- -;EWR;ZRH;Swiss International Air Lines (LX);Swiss International Air Lines;3932;08:21;;;;;333;;;;;;Direct;3494;1678;4559;
- -;FCO;BSL;Swiss International Air Lines (LX);Swiss International Air Lines;461;01:25;;;;;AR1;;;;;;Codeshare;1555;1423;4559;
- -;FCO;GVA;Swiss International Air Lines (LX);Swiss International Air Lines;431;01:21;;;;;319;320;;;;;Direct;1555;1665;4559;
- -;FCO;ZRH;Swiss International Air Lines (LX);Swiss International Air Lines;431;01:21;;;;;320;321;319;32A;;;Direct;1555;1678;4559;
- -;FLR;ZRH;Swiss International Air Lines (LX);Swiss International Air Lines;283;01:03;;;;;AR1;;;;;;Codeshare;1563;1678;4559;
- -;FNC;ZRH;Swiss International Air Lines (LX);Swiss International Air Lines;1669;03:50;;;;;320;;;;;;Codeshare;4091;1678;4559;
- -;FRA;BSL;Swiss International Air Lines (LX);Swiss International Air Lines;175;00:51;;;;;CR7;;;;;;Codeshare;340;1423;4559;
- -;FRA;DOH;Swiss International Air Lines (LX);Swiss International Air Lines;2848;06:11;;;;;333;;;;;;Codeshare;340;11051;4559;
- -;FRA;GVA;Swiss International Air Lines (LX);Swiss International Air Lines;285;01:04;;;;;CR7;735;E90;;;;Codeshare;340;1665;4559;
- -;FRA;ZRH;Swiss International Air Lines (LX);Swiss International Air Lines;177;00:51;;;;;320;AR1;;;;;Direct;340;1678;4559;
- -;FUE;ZRH;Swiss International Air Lines (LX);Swiss International Air Lines;1779;04:03;;;;;320;;;;;;Codeshare;1051;1678;4559;
- -;GRU;ZRH;Swiss International Air Lines (LX);Swiss International Air Lines;5967;12:26;;;;;343;;;;;;Direct;2564;1678;4559;
- -;GVA;AGP;Swiss International Air Lines (LX);Swiss International Air Lines;857;02:12;;;;;320;AR1;;;;;Direct;1665;1230;4559;
- -;GVA;ARN;Swiss International Air Lines (LX);Swiss International Air Lines;1044;02:35;;;;;320;319;;;;;Direct;1665;737;4559;
- -;GVA;ATH;Swiss International Air Lines (LX);Swiss International Air Lines;1075;02:39;;;;;320;319;;;;;Direct;1665;3941;4559;
- -;GVA;BCN;Swiss International Air Lines (LX);Swiss International Air Lines;395;01:17;;;;;320;319;AR1;;;;Direct;1665;1218;4559;
- -;GVA;BEG;Swiss International Air Lines (LX);Swiss International Air Lines;692;01:53;;;;;320;;;;;;Direct;1665;1739;4559;
- -;GVA;BRU;Swiss International Air Lines (LX);Swiss International Air Lines;330;01:09;;;;;319;320;AR1;;;;Codeshare;1665;302;4559;
- -;GVA;CAI;Swiss International Air Lines (LX);Swiss International Air Lines;1754;04:00;;;;;738;;;;;;Codeshare;1665;1128;4559;
- -;GVA;CDG;Swiss International Air Lines (LX);Swiss International Air Lines;253;01:00;;;;;321;319;320;318;;;Codeshare;1665;1382;4559;
- -;GVA;CPH;Swiss International Air Lines (LX);Swiss International Air Lines;706;01:54;;;;;319;320;;;;;Direct;1665;609;4559;
- -;GVA;CTA;Swiss International Air Lines (LX);Swiss International Air Lines;759;02:01;;;;;320;;;;;;Direct;1665;1509;4559;
- -;GVA;DME;Swiss International Air Lines (LX);Swiss International Air Lines;1507;03:30;;;;;319;320;;;;;Direct;1665;4029;4559;
- -;GVA;EWR;Swiss International Air Lines (LX);Swiss International Air Lines;3865;08:13;;;;;763;;;;;;Codeshare;1665;3494;4559;
- -;GVA;FCO;Swiss International Air Lines (LX);Swiss International Air Lines;431;01:21;;;;;319;320;;;;;Direct;1665;1555;4559;
- -;GVA;FRA;Swiss International Air Lines (LX);Swiss International Air Lines;285;01:04;;;;;735;CR7;E90;;;;Codeshare;1665;340;4559;
- -;GVA;HER;Swiss International Air Lines (LX);Swiss International Air Lines;1243;02:59;;;;;320;;;;;;Direct;1665;1452;4559;
- -;GVA;IAD;Swiss International Air Lines (LX);Swiss International Air Lines;4077;08:39;;;;;763;;;;;;Codeshare;1665;3714;4559;
- -;GVA;JFK;Swiss International Air Lines (LX);Swiss International Air Lines;3851;08:12;;;;;333;;;;;;Direct;1665;3797;4559;
- -;GVA;LCY;Swiss International Air Lines (LX);Swiss International Air Lines;455;01:24;;;;;AR1;;;;;;Codeshare;1665;503;4559;
- -;GVA;LED;Swiss International Air Lines (LX);Swiss International Air Lines;1358;03:12;;;;;319;;;;;;Direct;1665;2948;4559;
- -;GVA;LHR;Swiss International Air Lines (LX);Swiss International Air Lines;468;01:26;;;;;320;319;;;;;Direct;1665;507;4559;
- -;GVA;LIS;Swiss International Air Lines (LX);Swiss International Air Lines;928;02:21;;;;;319;320;;;;;Direct;1665;1638;4559;
- -;GVA;MAD;Swiss International Air Lines (LX);Swiss International Air Lines;627;01:45;;;;;320;319;;;;;Direct;1665;1229;4559;
- -;GVA;MUC;Swiss International Air Lines (LX);Swiss International Air Lines;303;01:06;;;;;E95;CR9;;;;;Codeshare;1665;346;4559;
- -;GVA;NCE;Swiss International Air Lines (LX);Swiss International Air Lines;186;00:52;;;;;320;319;AR1;;;;Direct;1665;1354;4559;
- -;GVA;OLB;Swiss International Air Lines (LX);Swiss International Air Lines;406;01:18;;;;;320;;;;;;Direct;1665;1520;4559;
- -;GVA;OPO;Swiss International Air Lines (LX);Swiss International Air Lines;812;02:07;;;;;319;320;;;;;Direct;1665;1636;4559;
- -;GVA;PMI;Swiss International Air Lines (LX);Swiss International Air Lines;492;01:29;;;;;320;;;;;;Direct;1665;3998;4559;
- -;GVA;PRG;Swiss International Air Lines (LX);Swiss International Air Lines;460;01:25;;;;;320;319;;;;;Direct;1665;1587;4559;
- -;GVA;PRN;Swiss International Air Lines (LX);Swiss International Air Lines;777;02:03;;;;;320;;;;;;Direct;1665;1742;4559;
- -;GVA;RAK;Swiss International Air Lines (LX);Swiss International Air Lines;1260;03:01;;;;;320;;;;;;Direct;1665;1075;4559;
- -;GVA;TLV;Swiss International Air Lines (LX);Swiss International Air Lines;1812;04:07;;;;;738;;;;;;Codeshare;1665;1590;4559;
- -;GVA;VIE;Swiss International Air Lines (LX);Swiss International Air Lines;507;01:30;;;;;F70;319;100;;;;Codeshare;1665;1613;4559;
- -;GVA;WAW;Swiss International Air Lines (LX);Swiss International Air Lines;783;02:03;;;;;E75;;;;;;Codeshare;1665;679;4559;
- -;GVA;YUL;Swiss International Air Lines (LX);Swiss International Air Lines;3667;07:50;;;;;333;;;;;;Codeshare;1665;146;4559;
- -;GVA;ZRH;Swiss International Air Lines (LX);Swiss International Air Lines;143;00:47;;;;;AR1;320;319;321;32A;;Direct;1665;1678;4559;
- -;HAJ;ZRH;Swiss International Air Lines (LX);Swiss International Air Lines;348;01:11;;;;;100;AR1;320;;;;Direct;352;1678;4559;
- -;HAM;BSL;Swiss International Air Lines (LX);Swiss International Air Lines;430;01:21;;;;;AR1;;;;;;Codeshare;342;1423;4559;
- -;HAM;ZRH;Swiss International Air Lines (LX);Swiss International Air Lines;430;01:21;;;;;319;321;320;CRJ;;;Direct;342;1678;4559;
- -;HAV;ZRH;Swiss International Air Lines (LX);Swiss International Air Lines;5102;10:42;;;;;333;;;;;;Codeshare;1909;1678;4559;
- -;HER;GVA;Swiss International Air Lines (LX);Swiss International Air Lines;1243;02:59;;;;;320;;;;;;Direct;1452;1665;4559;
- -;HER;ZRH;Swiss International Air Lines (LX);Swiss International Air Lines;1196;02:53;;;;;320;333;;;;;Codeshare;1452;1678;4559;
- -;HKG;ZRH;Swiss International Air Lines (LX);Swiss International Air Lines;5762;12:01;;;;;343;;;;;;Direct;3077;1678;4559;
- -;HRG;ZRH;Swiss International Air Lines (LX);Swiss International Air Lines;1953;04:24;;;;;320;;;;;;Codeshare;1130;1678;4559;
- -;IAD;GVA;Swiss International Air Lines (LX);Swiss International Air Lines;4077;08:39;;;;;763;;;;;;Codeshare;3714;1665;4559;
- -;IAD;ZRH;Swiss International Air Lines (LX);Swiss International Air Lines;4144;08:47;;;;;763;764;;;;;Codeshare;3714;1678;4559;
- -;ISL;ZRH;Swiss International Air Lines (LX);Swiss International Air Lines;1094;02:41;;;;;320;32A;;;;;Direct;1701;1678;4559;
- -;JFK;GVA;Swiss International Air Lines (LX);Swiss International Air Lines;3851;08:12;;;;;333;;;;;;Direct;3797;1665;4559;
- -;JFK;ZRH;Swiss International Air Lines (LX);Swiss International Air Lines;3918;08:20;;;;;333;;;;;;Direct;3797;1678;4559;
- -;JNB;ZRH;Swiss International Air Lines (LX);Swiss International Air Lines;5228;10:57;;;;;343;333;;;;;Direct;813;1678;4559;
- -;KBP;ZRH;Swiss International Air Lines (LX);Swiss International Air Lines;1029;02:33;;;;;320;32A;100;319;;;Direct;2939;1678;4559;
- -;LAS;ZRH;Swiss International Air Lines (LX);Swiss International Air Lines;5695;11:53;;;;;333;;;;;;Direct;3877;1678;4559;
- -;LAX;ZRH;Swiss International Air Lines (LX);Swiss International Air Lines;5920;12:20;;;;;343;;;;;;Direct;3484;1678;4559;
- -;LCA;ZRH;Swiss International Air Lines (LX);Swiss International Air Lines;1555;03:36;;;;;320;;;;;;Codeshare;1197;1678;4559;
- -;LCY;BSL;Swiss International Air Lines (LX);Swiss International Air Lines;430;01:21;;;;;AR1;;;;;;Codeshare;503;1423;4559;
- -;LCY;GVA;Swiss International Air Lines (LX);Swiss International Air Lines;455;01:24;;;;;AR1;;;;;;Codeshare;503;1665;4559;
- -;LCY;ZRH;Swiss International Air Lines (LX);Swiss International Air Lines;471;01:26;;;;;AR1;;;;;;Codeshare;503;1678;4559;
- -;LED;GVA;Swiss International Air Lines (LX);Swiss International Air Lines;1358;03:12;;;;;319;;;;;;Direct;2948;1665;4559;
- -;LED;ZRH;Swiss International Air Lines (LX);Swiss International Air Lines;1220;02:56;;;;;320;32A;;;;;Direct;2948;1678;4559;
- -;LHR;GVA;Swiss International Air Lines (LX);Swiss International Air Lines;468;01:26;;;;;320;319;;;;;Direct;507;1665;4559;
- -;LHR;ZRH;Swiss International Air Lines (LX);Swiss International Air Lines;489;01:28;;;;;320;321;32A;;;;Direct;507;1678;4559;
- -;LIN;BRU;Swiss International Air Lines (LX);Swiss International Air Lines;436;01:22;;;;;AR1;319;;;;;Direct;1529;302;4559;
- -;LIS;GVA;Swiss International Air Lines (LX);Swiss International Air Lines;928;02:21;;;;;319;320;;;;;Direct;1638;1665;4559;
- -;LIS;ZRH;Swiss International Air Lines (LX);Swiss International Air Lines;1070;02:38;;;;;32A;320;;;;;Direct;1638;1678;4559;
- -;LJU;ZRH;Swiss International Air Lines (LX);Swiss International Air Lines;291;01:04;;;;;CR9;CR2;319;;;;Codeshare;1569;1678;4559;
- -;LPA;ZRH;Swiss International Air Lines (LX);Swiss International Air Lines;1863;04:13;;;;;320;;;;;;Codeshare;1054;1678;4559;
- -;LUG;ZRH;Swiss International Air Lines (LX);Swiss International Air Lines;102;00:42;;;;;S20;;;;;;Codeshare;1675;1678;4559;
- -;LUX;ZRH;Swiss International Air Lines (LX);Swiss International Air Lines;183;00:51;;;;;AR1;320;;;;;Direct;629;1678;4559;
- -;LYS;ZRH;Swiss International Air Lines (LX);Swiss International Air Lines;203;00:54;;;;;AR1;;;;;;Direct;1335;1678;4559;
- -;MAD;GVA;Swiss International Air Lines (LX);Swiss International Air Lines;627;01:45;;;;;320;319;;;;;Direct;1229;1665;4559;
- -;MAD;ZRH;Swiss International Air Lines (LX);Swiss International Air Lines;770;02:02;;;;;320;32A;;;;;Direct;1229;1678;4559;
- -;MAN;ZRH;Swiss International Air Lines (LX);Swiss International Air Lines;625;01:45;;;;;100;320;AR1;;;;Direct;478;1678;4559;
- -;MIA;ZRH;Swiss International Air Lines (LX);Swiss International Air Lines;4871;10:14;;;;;333;;;;;;Direct;3576;1678;4559;
- -;MLA;ZRH;Swiss International Air Lines (LX);Swiss International Air Lines;857;02:12;;;;;319;;;;;;Codeshare;1606;1678;4559;
- -;MUC;BSL;Swiss International Air Lines (LX);Swiss International Air Lines;203;00:54;;;;;CR9;CR7;;;;;Codeshare;346;1423;4559;
- -;MUC;GVA;Swiss International Air Lines (LX);Swiss International Air Lines;303;01:06;;;;;E95;CR9;;;;;Codeshare;346;1665;4559;
- -;MUC;ZRH;Swiss International Air Lines (LX);Swiss International Air Lines;161;00:49;;;;;AR1;;;;;;Direct;346;1678;4559;
- -;MXP;ZRH;Swiss International Air Lines (LX);Swiss International Air Lines;126;00:45;;;;;AR1;100;320;;;;Direct;1524;1678;4559;
- -;NBO;DAR;Swiss International Air Lines (LX);Swiss International Air Lines;414;01:19;;;;;333;;;;;;Direct;4059;1177;4559;
- -;NBO;ZRH;Swiss International Air Lines (LX);Swiss International Air Lines;3778;08:03;;;;;333;;;;;;Direct;4059;1678;4559;
- -;NCE;GVA;Swiss International Air Lines (LX);Swiss International Air Lines;186;00:52;;;;;320;319;AR1;;;;Direct;1354;1665;4559;
- -;NCE;ZRH;Swiss International Air Lines (LX);Swiss International Air Lines;270;01:02;;;;;320;319;;;;;Direct;1354;1678;4559;
- -;NRT;ZRH;Swiss International Air Lines (LX);Swiss International Air Lines;5958;12:24;;;;;343;;;;;;Direct;2279;1678;4559;
- -;NSI;BRU;Swiss International Air Lines (LX);Swiss International Air Lines;3283;07:03;;;;;332;;;;;;Codeshare;4161;302;4559;
- -;NSI;DLA;Swiss International Air Lines (LX);Swiss International Air Lines;127;00:45;;;;;332;;;;;;Codeshare;4161;897;4559;
- -;NUE;ZRH;Swiss International Air Lines (LX);Swiss International Air Lines;181;00:51;;;;;AR1;100;;;;;Direct;347;1678;4559;
- -;OLB;GVA;Swiss International Air Lines (LX);Swiss International Air Lines;406;01:18;;;;;320;;;;;;Direct;1520;1665;4559;
- -;OPO;GVA;Swiss International Air Lines (LX);Swiss International Air Lines;812;02:07;;;;;319;320;;;;;Direct;1636;1665;4559;
- -;OPO;ZRH;Swiss International Air Lines (LX);Swiss International Air Lines;950;02:24;;;;;320;319;;;;;Codeshare;1636;1678;4559;
- -;ORD;ZRH;Swiss International Air Lines (LX);Swiss International Air Lines;4428;09:21;;;;;333;;;;;;Direct;3830;1678;4559;
- -;OSL;ZRH;Swiss International Air Lines (LX);Swiss International Air Lines;879;02:15;;;;;319;320;;;;;Direct;644;1678;4559;
- -;OTP;ZRH;Swiss International Air Lines (LX);Swiss International Air Lines;862;02:13;;;;;320;;;;;;Codeshare;1657;1678;4559;
- -;PEK;ZRH;Swiss International Air Lines (LX);Swiss International Air Lines;4949;10:23;;;;;333;;;;;;Direct;3364;1678;4559;
- -;PMI;GVA;Swiss International Air Lines (LX);Swiss International Air Lines;492;01:29;;;;;320;;;;;;Direct;3998;1665;4559;
- -;PMI;ZRH;Swiss International Air Lines (LX);Swiss International Air Lines;618;01:44;;;;;321;320;;;;;Direct;3998;1678;4559;
- -;PRG;BSL;Swiss International Air Lines (LX);Swiss International Air Lines;351;01:12;;;;;AR1;;;;;;Codeshare;1587;1423;4559;
- -;PRG;GVA;Swiss International Air Lines (LX);Swiss International Air Lines;460;01:25;;;;;320;319;;;;;Direct;1587;1665;4559;
- -;PRG;ZRH;Swiss International Air Lines (LX);Swiss International Air Lines;317;01:08;;;;;AR1;;;;;;Direct;1587;1678;4559;
- -;PRN;GVA;Swiss International Air Lines (LX);Swiss International Air Lines;777;02:03;;;;;320;;;;;;Direct;1742;1665;4559;
- -;PRN;ZRH;Swiss International Air Lines (LX);Swiss International Air Lines;695;01:53;;;;;320;;;;;;Codeshare;1742;1678;4559;
- -;PUJ;ZRH;Swiss International Air Lines (LX);Swiss International Air Lines;4673;09:50;;;;;333;;;;;;Codeshare;1760;1678;4559;
- -;PVG;ZRH;Swiss International Air Lines (LX);Swiss International Air Lines;5608;11:42;;;;;343;;;;;;Direct;3406;1678;4559;
- -;RAK;GVA;Swiss International Air Lines (LX);Swiss International Air Lines;1260;03:01;;;;;320;;;;;;Direct;1075;1665;4559;
- -;RAK;ZRH;Swiss International Air Lines (LX);Swiss International Air Lines;1400;03:18;;;;;320;;;;;;Codeshare;1075;1678;4559;
- -;RMF;ZRH;Swiss International Air Lines (LX);Swiss International Air Lines;2072;04:38;;;;;320;;;;;;Codeshare;4197;1678;4559;
- -;SFO;ZRH;Swiss International Air Lines (LX);Swiss International Air Lines;5822;12:08;;;;;343;;;;;;Direct;3469;1678;4559;
- -;SIN;ZRH;Swiss International Air Lines (LX);Swiss International Air Lines;6399;13:17;;;;;343;;;;;;Direct;3316;1678;4559;
- -;SKP;ZRH;Swiss International Air Lines (LX);Swiss International Air Lines;744;01:59;;;;;320;;;;;;Codeshare;1737;1678;4559;
- -;SPU;ZRH;Swiss International Air Lines (LX);Swiss International Air Lines;462;01:25;;;;;DH4;;;;;;Codeshare;1206;1678;4559;
- -;STR;ZRH;Swiss International Air Lines (LX);Swiss International Air Lines;90;00:40;;;;;AR1;;;;;;Direct;350;1678;4559;
- -;TFS;ZRH;Swiss International Air Lines (LX);Swiss International Air Lines;1901;04:18;;;;;320;;;;;;Codeshare;1056;1678;4559;
- -;TLV;GVA;Swiss International Air Lines (LX);Swiss International Air Lines;1812;04:07;;;;;738;;;;;;Codeshare;1590;1665;4559;
- -;TLV;ZRH;Swiss International Air Lines (LX);Swiss International Air Lines;1744;03:59;;;;;333;343;32A;;;;Direct;1590;1678;4559;
- -;TPA;ZRH;Swiss International Air Lines (LX);Swiss International Air Lines;4865;10:13;;;;;333;;;;;;Codeshare;3646;1678;4559;
- -;TXL;ZRH;Swiss International Air Lines (LX);Swiss International Air Lines;409;01:19;;;;;321;320;;;;;Direct;351;1678;4559;
- -;VCE;ZRH;Swiss International Air Lines (LX);Swiss International Air Lines;225;00:57;;;;;AR1;320;;;;;Direct;1551;1678;4559;
- -;VIE;BSL;Swiss International Air Lines (LX);Swiss International Air Lines;420;01:20;;;;;DH4;;;;;;Codeshare;1613;1423;4559;
- -;VIE;GVA;Swiss International Air Lines (LX);Swiss International Air Lines;507;01:30;;;;;319;100;F70;;;;Codeshare;1613;1665;4559;
- -;VIE;ZRH;Swiss International Air Lines (LX);Swiss International Air Lines;374;01:14;;;;;320;32A;319;321;AR1;;Direct;1613;1678;4559;
- -;VLC;ZRH;Swiss International Air Lines (LX);Swiss International Air Lines;711;01:55;;;;;321;320;;;;;Direct;1246;1678;4559;
- -;WAW;GVA;Swiss International Air Lines (LX);Swiss International Air Lines;783;02:03;;;;;E75;;;;;;Codeshare;679;1665;4559;
- -;WAW;ZRH;Swiss International Air Lines (LX);Swiss International Air Lines;640;01:46;;;;;100;;;;;;Direct;679;1678;4559;
- -;YUL;GVA;Swiss International Air Lines (LX);Swiss International Air Lines;3667;07:50;;;;;333;;;;;;Codeshare;146;1665;4559;
- -;YUL;YYZ;Swiss International Air Lines (LX);Swiss International Air Lines;314;01:07;;;;;333;;;;;;Codeshare;146;193;4559;
- -;YUL;ZRH;Swiss International Air Lines (LX);Swiss International Air Lines;3723;07:56;;;;;333;;;;;;Direct;146;1678;4559;
- -;YYZ;YUL;Swiss International Air Lines (LX);Swiss International Air Lines;314;01:07;;;;;333;;;;;;Codeshare;193;146;4559;
- -;YYZ;ZRH;Swiss International Air Lines (LX);Swiss International Air Lines;4030;08:33;;;;;333;;;;;;Codeshare;193;1678;4559;
- -;ZAG;ZRH;Swiss International Air Lines (LX);Swiss International Air Lines;375;01:15;;;;;DH4;;;;;;Codeshare;1208;1678;4559;
- -;ZRH;ACE;Swiss International Air Lines (LX);Swiss International Air Lines;1742;03:59;;;;;320;;;;;;Codeshare;1678;1055;4559;
- -;ZRH;AGP;Swiss International Air Lines (LX);Swiss International Air Lines;998;02:29;;;;;321;320;;;;;Direct;1678;1230;4559;
- -;ZRH;AMS;Swiss International Air Lines (LX);Swiss International Air Lines;374;01:14;;;;;320;AR1;;;;;Direct;1678;580;4559;
- -;ZRH;ARN;Swiss International Air Lines (LX);Swiss International Air Lines;923;02:20;;;;;320;321;;;;;Direct;1678;737;4559;
- -;ZRH;ATH;Swiss International Air Lines (LX);Swiss International Air Lines;1018;02:32;;;;;321;;;;;;Direct;1678;3941;4559;
